0.txt	7.303770e+03	1874	278
1.txt	7.327240e+03	1863	278
2.txt	7.163740e+03	1851	278
3.txt	6.933800e+03	1836	279
4.txt	6.767870e+03	1825	278
5.txt	6.633280e+03	1812	277
6.txt	6.554510e+03	1802	278
7.txt	6.499720e+03	1791	279
8.txt	6.475840e+03	1783	280
9.txt	6.491500e+03	1773	282
10.txt	6.529320e+03	1759	285
11.txt	6.613310e+03	1743	288
12.txt	6.711950e+03	1726	292
13.txt	6.797250e+03	1709	294
14.txt	6.879720e+03	1691	300
15.txt	6.956980e+03	1668	305
16.txt	7.049940e+03	1638	312
17.txt	7.266810e+03	1609	321
18.txt	7.702440e+03	1576	332
19.txt	8.504260e+03	1535	339
20.txt	9.691480e+03	1485	352
21.txt	1.071360e+04	1429	359
22.txt	1.054300e+04	1370	356
23.txt	7.408420e+03	1278	361
24.txt	5.432730e+03	1182	361
25.txt	2.544400e+03	1075	353
26.txt	2.177660e+03	1481	360
27.txt	2.061880e+03	1479	367
28.txt	1.779160e+03	1541	355
29.txt	1.845630e+03	1534	354
30.txt	1.758650e+03	1524	354
31.txt	1.571430e+03	1518	354
32.txt	1.306300e+03	1516	354
33.txt	1.169930e+03	1587	352
34.txt	1.116240e+03	1588	355
35.txt	1.085810e+03	1578	354
36.txt	1.069070e+03	1573	351
37.txt	9.755570e+02	1570	348
38.txt	8.787200e+02	1576	351
39.txt	7.813280e+02	1579	352
40.txt	7.559600e+02	1580	350
