0.txt	-7.303770e+03	1874	471
1.txt	-7.319350e+03	1863	471
2.txt	-7.145850e+03	1849	471
3.txt	-6.925680e+03	1836	470
4.txt	-6.767400e+03	1824	471
5.txt	-6.635250e+03	1811	471
6.txt	-6.546940e+03	1801	471
7.txt	-6.488190e+03	1792	469
8.txt	-6.469650e+03	1783	468
9.txt	-6.488180e+03	1773	465
10.txt	-6.524580e+03	1759	464
11.txt	-6.608100e+03	1742	461
12.txt	-6.705180e+03	1727	459
13.txt	-6.796460e+03	1709	454
14.txt	-6.873920e+03	1690	450
15.txt	-6.952660e+03	1663	444
16.txt	-7.053280e+03	1638	437
17.txt	-7.275640e+03	1608	428
18.txt	-7.716190e+03	1577	416
19.txt	-8.527960e+03	1535	408
20.txt	-9.680590e+03	1485	395
21.txt	-1.045420e+04	1428	388
22.txt	-1.051320e+04	1367	387
23.txt	-7.252030e+03	1291	383
24.txt	-5.428430e+03	1181	380
25.txt	-2.591410e+03	1433	383
26.txt	-2.002050e+03	1522	390
27.txt	-1.944640e+03	1510	391
28.txt	-2.093150e+03	1510	387
29.txt	-1.956700e+03	1506	384
30.txt	-1.719310e+03	1496	379
31.txt	-1.404490e+03	1491	377
32.txt	-1.295590e+03	1561	387
33.txt	-1.340120e+03	1556	387
34.txt	-1.206500e+03	1550	384
35.txt	-1.014330e+03	1548	385
36.txt	-9.414580e+02	1614	400
37.txt	-9.108680e+02	1613	399
38.txt	-9.107830e+02	1614	399
39.txt	-8.251350e+02	1615	401
40.txt	-8.271570e+02	1615	400
